"","Library","Shannon","Richness","Type","Tissue"
"3890","M2212SZHXSH745CX100",0,0,"Eukaryote","Gut"
"3891","M2212SZHXSH745CX100",0,0,"RNA virus","Gut"
"3892","M2212SZHXSH745CX100",0,0,"DNA virus","Gut"
"3893","M2212SZHXSH745P",0,0,"Eukaryote","Spleen"
"3894","M2212SZHXSH745P",0,0,"Bacteria","Spleen"
"3895","M2212SZHXSH745P",0,0,"RNA virus","Spleen"
"3896","M2212SZHXSH745P",0,0,"DNA virus","Spleen"
"3897","M2212SZHXSH746CX100",0,0,"Bacteria","Gut"
"3898","M2212SZHXSH746CX100",0,0,"DNA virus","Gut"
"3899","M2212SZHXSH746CX100",0,0,"Eukaryote","Gut"
"3900","M2212SZHXSH746CX100",0,1,"RNA virus","Gut"
"3901","M2212SZHXSH746PX100",0,0,"Bacteria","Spleen"
"3902","M2212SZHXSH746PX100",0,0,"DNA virus","Spleen"
"3903","M2212SZHXSH746PX100",0.690987713674616,2,"RNA virus","Spleen"
"3904","M2212SZHXSH746PX100",0,0,"Eukaryote","Spleen"
"3905","M2212SZHXSH747CX100",0,0,"Bacteria","Gut"
